|acronym|expansion|type|sample
0|AF|ademfrequentie|Anesthesiologie|verlaagde AF bij sat 71%
1|AF|ademfrequentie|Anesthesiologie|AF 70 /min
2|AF|ademfrequentie|Anesthesiologie|meneer heeft emfyseem en daarbij lafe AF
3|AF|ademfrequentie|Anesthesiologie|pat rookt en heeft hoge AF: fietstest?
4|AF|ademfrequentie|Anesthesiologie|sr 70 bpm bij verhoogde AF
5|AF|ademfrequentie|Anesthesiologie|slikt medicatie ivm AF, eerder wel een flauwgevallen
6|AF|ademfrequentie|Anesthesiologie|AF vaak onstabiel, pat geeft aan vaak buiten adem te zijn
7|AF|ademfrequentie|Anesthesiologie|AF daalt in rust, maar blijft aan hoge kant
8|AF|ademfrequentie|Anesthesiologie|bloeddruk 100/50 mmhg, temp 39.2, AF 36
9|AF|ademfrequentie|Anesthesiologie|rr 140/95 mmhg, temp 39.2 celcius, sao2 98%, , AF: 36
10|AF|ademfrequentie|Anesthesiologie|rustige AF, goede saturaties
11|AF|ademfrequentie|Anesthesiologie|sao2 97% zonder zuurstof bij AF van 15/min
12|AF|ademfrequentie|Anesthesiologie|cachectische vrouw met AF ca 25/min
13|AF|atriumfibrilleren|Cardiologie|in 2001 hartinfarct + AF
14|AF|atriumfibrilleren|Cardiologie|opname ivm AF na cabg
15|AF|atriumfibrilleren|Cardiologie|noradrenaline ivm AF en hypotensie
16|AF|atriumfibrilleren|Cardiologie|reden van komst: AF de novo
17|AF|atriumfibrilleren|Cardiologie|vg: AF, hypertensie, diabetes
18|AF|atriumfibrilleren|Cardiologie|dd\ AF
19|AF|atriumfibrilleren|Cardiologie|pacemaker sinds 2017 vwg AF
20|AF|atriumfibrilleren|Cardiologie|mei 2019 AF wv pacemaker
21|AF|atriumfibrilleren|Cardiologie|geen extra medicatie gegeven ivm AF
22|AF|atriumfibrilleren|Cardiologie|82 jarige patient met in de voorgeschiedenis AF en scoliose
23|AF|atriumfibrilleren|Cardiologie|conclusie: paroxysmaal AF, zeer sporadisch optredend.
24|AF|atriumfibrilleren|Cardiologie|2017: AF
25|AF|atriumfibrilleren|Cardiologie|bekend met hypertensie/AF
26|AF|atriumfibrilleren|Cardiologie|vg; AF (behandeling in ander ziekenhuis)
27|AF|atriumfibrilleren|Cardiologie|ecg: AF en oud voorwandinfarct.
28|AF|atriumfibrilleren|Cardiologie|AF maar geen ventrikeltachycardie.
29|AF|atriumfibrilleren|Cardiologie|wellicht dat een paroxysme van AF danwel een tachycardie de klachten heeft veroorzaakt
30|AF|atriumfibrilleren|Cardiologie|paroxysmale AF (1992)
31|AF|atriumfibrilleren|Cardiologie|voorgeschiedenis: bekend met AF en jicht
32|AF|atriumfibrilleren|Cardiologie|bekend met nierinsufficientie en AF
33|AP|angina pectoris|Cardiologie|patient heeft AP en coronaire insufficientie in de voorgeschiedenis
34|AP|angina pectoris|Cardiologie|'04 AP klachten
35|AP|angina pectoris|Cardiologie|vg: AP (2016)
36|AP|angina pectoris|Cardiologie|ptca ivm AP
37|AP|angina pectoris|Cardiologie|2011: instabiele AP
38|AP|angina pectoris|Cardiologie|AP (ecg passend bij subendocardiaal infarct)
39|AP|angina pectoris|Cardiologie|1994: AP, waarvoor 2 x ptca
40|AP|angina pectoris|Cardiologie|geen AP bij lopen of palpitaties
41|AP|angina pectoris|Cardiologie|2009 AP, tia en cabg
42|AP|angina pectoris|Cardiologie|tractus circ: geen klachten van AP, palpitaties, hypertensie of oedeem
43|AP|angina pectoris|Cardiologie|werd op 12-02-2019 opgenomen op onze afdeling ivm progressieve AP
44|AP|angina pectoris|Cardiologie|anamnese: cardiaal klachten zijn er niet, met name geen AP
45|AP|anterior-posterior|Radiologie|dmsa wordt planaire scintigrafie verricht vanaf AP en links en rchts schuin achter.
46|AP|anterior-posterior|Radiologie|meerdere infarctgebiedjes in de rechter cerebrale hemisfeer, zowel in het AP als mediagebied.
47|AP|anterior-posterior|Radiologie|afbeelding van cervicale wervelkolom vanaf AP en lateraal toont pathologische bloeding
48|AP|anterior-posterior|Radiologie|meerdere statische opnamen vervaardigd van de beide nieren vanaf AP, homogene tubulaire tracerstapeling in de beide nieren.
49|HA|Hartslag|Generic|hartslag 70/min in rust, 105/min bij milde inspanning
50|HA|Hartslag|Generic|ecg: hartslag 75/minuut, geen duidelijke afwijkingen
51|HA|Hartslag|Generic|electrocardiogram: hartslag geen afwijkingen, 1e graads av block, conform.
52|HA|Hartslag|Generic|hartslag maximaal 125/min, tijdens onderzoek had patiente geen angineuze klachten
53|HA|Hartslag|Generic|hartslag werd maximaal 107/minuut, kreeg een beetje pijn op de borst tijdens onderzoek
54|HA|Hartslag|Generic|ecg: hartslag 86 bpm, licht verminderde lv functie
55|HA|Hartslag|Generic|hartslag 54 slagen per minuut, tnesie 124 / 66 mmhg
56|HA|Hartslag|Generic|normale hartslag op ecg, normale hartas, normale pq en qrs duur.
57|HA|Hartslag|Generic|electrocardiogram: ongewijzigde hartslag met een oud as-infarct zonder aanwijzingen voor ischemie
58|HA|huisarts|Functie/Generic|aan de HA het verzoek om bij patient een paar keer de bloeddruk te controleren
59|HA|huisarts|Functie/Generic|beleid: expectatief, retour HA
60|HA|huisarts|Functie/Generic|het bovenstaande heb ik ook aan de HA laten weten.
61|HA|huisarts|Functie/Generic|patient iom HA aangeraden om met een fysiotherapeut verder te werken
62|HA|huisarts|Functie/Generic|uitstrijk afgenomen door: HA
63|HA|huisarts|Functie/Generic|doorverwijzer: HA
64|HA|huisarts|Functie/Generic|met angineuze klachten doorverwezen door HA
65|HA|huisarts|Functie/Generic|via de HA heeft ze de eerste 4 maanden orofaciale fysiotherapie gehad met dry-needling
66|HA|huisarts|Functie/Generic|advies voor HA: overweeg heronderzoek (na ten minste een jaar) in het geval van toegenomen klachten of verminderd dagelijks functioneren
